tweet_id,timestamp,year,month,date,username,text,text_clean,like,retweet,reply,quote,sentiment,confidence,score_positive,score_neutral,score_negative
1347846244408782848,2021-01-09 17:02:41+07:00,2021,1,2021-01-09,DidikMukrianto,"3. Persentase penduduk miskin Jawa Timur th 2020 sebesar 11,09 %, naik dari tahun sebelumnya (10,37 %). Di wilayah eks-Karesidenan Bojonegoro (Bojonegoro, Tuban, Lamongan), persentase penduduk miskin Kab Tuban yg tertinggi.",". persentase penduduk miskin jawa timur th sebesar , , naik dari tahun sebelumnya , . di wilayah eks karesidenan bojonegoro bojonegoro, tuban, lamongan , persentase penduduk miskin kab tuban yg tertinggi.",6,5,0,0,neutral,0.8494018912315369,0.0,0.8494018912315369,0.0
1347845687862468615,2021-01-09 17:00:28+07:00,2021,1,2021-01-09,DidikMukrianto,"2. Persentase penduduk miskin Kabupaten Tuban (15,91 persen) pada tahun 2020 berada di peringkat 5 (lima) tertinggi dari 38 kabupaten/kota se-Provinsi Jawa Timur. Yang tertinggi adalah Kabupaten Sampang (22,78 persen), sedangkan yang terendah adalah Kota Batu (3,89 persen). https://t.co/p2rqKMSPZe",". persentase penduduk miskin kabupaten tuban , persen pada tahun berada di peringkat lima tertinggi dari kabupaten kota se provinsi jawa timur. yang tertinggi adalah kabupaten sampang , persen , sedangkan yang terendah adalah kota batu , persen .",10,6,0,0,neutral,0.9104856848716736,0.0,0.9104856848716736,0.0
1346446960643854337,2021-01-05 20:22:25+07:00,2021,1,2021-01-05,moesa_jp02,"Persentase Penduduk Miskin Maret 2020 naik menjadi 9,78 persen
-Badan Pusat Statistik -https://t.co/nqFoj7D6fo. 
via @bps_statistics","persentase penduduk miskin maret naik menjadi , persen badan pusat statistik via",0,0,0,0,neutral,0.9971523284912109,0.0,0.9971523284912109,0.0
1346256388641619969,2021-01-05 07:45:09+07:00,2021,1,2021-01-05,NKRIndonesia79,"Jumlah dan persentase penduduk miskin terbanyak per Maret 2020:

1. JaTim 4,42 juta jiwa (11,09℅)

2. JaTeng 3,98 juta jiwa (11,41℅)

3. Ja Bar 3,92 juta jiwa (7,9%)

4. Sumatera Utara 1,28 juta jiwa (8,75%)

5. NTT 1,15 juta jiwa (20,90 persen).
https://t.co/OxN2L9vARc","jumlah dan persentase penduduk miskin terbanyak per maret . jatim , juta jiwa , . jateng , juta jiwa , . ja bar , juta jiwa , . sumatera utara , juta jiwa , . ntt , juta jiwa , persen .",1,0,0,0,neutral,0.9404548406600952,0.0,0.9404548406600952,0.0
1346118870986231809,2021-01-04 22:38:43+07:00,2021,1,2021-01-04,muhtar_fuat,"@MahaD3w4 Ini Mensos khusus DKI yaa...??? salut DKI punya Mensos sendiri....Jatim sama Jateng yg persentase penduduk miskin yg tertinggi 
 ngapain blusukan di DKI itu tuna wisma kader pdi yaa kok merah semua.",ini mensos khusus dki yaa... salut dki punya mensos sendiri....jatim sama jateng yg persentase penduduk miskin yg tertinggi ngapain blusukan di dki itu tuna wisma kader pdi yaa kok merah semua.,1,0,0,0,negative,0.9941011071205139,0.0,0.0,0.9941011071205139
1345263208311914496,2021-01-02 13:58:37+07:00,2021,1,2021-01-02,ermawan51004797,@GeiszChalifah bang itu ngitungnya persentase terhadap apa .. jumlah penduduk daerah terkait atau terhadap total penduduk yg miskin seluruh indonesia 🙏?,bang itu ngitungnya persentase terhadap apa .. jumlah penduduk daerah terkait atau terhadap total penduduk yg miskin seluruh indonesia,0,0,0,0,negative,0.8854272961616516,0.0,0.0,0.8854272961616516
1362673921888309248,2021-02-19 15:02:34+07:00,2021,2,2021-02-19,JRKAceh,"Foto: Kepala BPS Aceh dan Sulthan Alfaraby usai berdiskusiLINTAS ATJEH | BANDA ACEH - Penduduk miskin di Aceh meningkat 19 ribu orang pada September 2020. Secara persentase, angka kemiskinan di Serambi Mekah sebesar 15,43% atau tertinggi di Sumatera. Dat… https://t.co/GHWsYIExgP","foto kepala bps aceh dan sulthan alfaraby usai berdiskusilintas atjeh banda aceh penduduk miskin di aceh meningkat ribu orang pada september . secara persentase, angka kemiskinan di serambi mekah sebesar , atau tertinggi di sumatera. dat",0,0,0,0,neutral,0.9675332307815552,0.0,0.9675332307815552,0.0
1362614624290369538,2021-02-19 11:06:57+07:00,2021,2,2021-02-19,endjah_hamami,"Persentase tertinggi Penduduk Miskin ada di Papua 26,8% dan Papua Barat 21,7% BUKAN DI ACEH seperti yang dituduhkan oleh @Dennysiregar7 https://t.co/JiFm1woBBH","persentase tertinggi penduduk miskin ada di papua , dan papua barat , bukan di aceh seperti yang dituduhkan oleh",1,0,0,0,negative,0.9644588232040405,0.0,0.0,0.9644588232040405
1362504969383936001,2021-02-19 03:51:13+07:00,2021,2,2021-02-19,_812ez4_P4hl3v1,"Orang Miskin di Jawa Timur itu hampir 5.5 kali lipat dibanding Aceh. 
Coba lihat jumlah orang miskin penduduk Aceh dan kemudian bandingkan dengan Jawa Timur dan Jawa Tengah kemudian coba persentase kan‼️ https://t.co/Iz8DIQfgqM",orang miskin di jawa timur itu hampir . kali lipat dibanding aceh. coba lihat jumlah orang miskin penduduk aceh dan kemudian bandingkan dengan jawa timur dan jawa tengah kemudian coba persentase kan,50,18,2,0,negative,0.9826841950416565,0.0,0.0,0.9826841950416565
1362249630352744452,2021-02-18 10:56:35+07:00,2021,2,2021-02-18,OPINI_id,"Salah satu karangan bunga bertuliskan,""Terima Kasih Pak Gubernur. Telah mempersembahkan prestasi juara termiskin se-sumatera.""  Persentase penduduk miskin provinsi Aceh pada tahun 2019 juga yang paling tinggi se-Sumatera yakni 15,01 persen.","salah satu karangan bunga bertuliskan, terima kasih pak gubernur. telah mempersembahkan prestasi juara termiskin se sumatera. persentase penduduk miskin provinsi aceh pada tahun juga yang paling tinggi se sumatera yakni , persen.",0,0,0,0,positive,0.5401450991630554,0.5401450991630554,0.0,0.0
